index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,view_history,semantic_distance,verbal_acc_corrected
10,1975.0999999642372,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,11,0,dot,pedal,pedal_mooney_dot_on3,catch,regular,pre,on,21x7tm212b4ebfr,html-keyboard-response,54,269251,0.0-11.0-5.10-1.10,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
11,2997.399999976158,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,12,0,dot,backpack,backpack_mooney_dot_off4,target,horizontal_flip,pre,off,21x7tm212b4ebfr,html-keyboard-response,58,273261,0.0-11.0-5.11-1.11,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
12,862.6999999880791,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,13,0,dot,puddle,puddle_mooney_dot_on1,target,regular,pre,on,21x7tm212b4ebfr,html-keyboard-response,62,275134,0.0-11.0-5.12-1.12,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,,
13,1685.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,14,0,dot,pedal,pedal_mooney_dot_on1,catch,regular,pre,on,21x7tm212b4ebfr,html-keyboard-response,66,277838,0.0-11.0-5.13-1.13,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
14,895.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,15,0,dot,pomegranate,pomegranate_mooney_dot_off2,target,upside_down,pre,off,21x7tm212b4ebfr,html-keyboard-response,70,279750,0.0-11.0-5.14-1.14,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
15,1052.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,16,0,dot,pedal,pedal_mooney_dot_off2,catch,regular,pre,off,21x7tm212b4ebfr,html-keyboard-response,74,281813,0.0-11.0-5.15-1.15,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
16,,,,17,0,recognition,pomegranate,pomegranate_mooney,target,upside_down,pre,null,21x7tm212b4ebfr,survey-text-autocomplete,82,292988,0.0-11.0-6.16-4.16,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""engine""}",engine,,0.8411994690931347,0.0
17,,,,18,0,recognition,puddle,puddle_mooney,target,regular,pre,null,21x7tm212b4ebfr,survey-text-autocomplete,89,307399,0.0-11.0-6.17-4.17,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""table""}",table,,0.7059580628591196,0.0
18,,,,19,0,recognition,backpack,backpack_mooney,target,horizontal_flip,pre,null,21x7tm212b4ebfr,survey-text-autocomplete,96,326223,0.0-11.0-6.18-4.18,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""statue""}",statue,,0.7541721038906957,0.0
19,,,,20,0,recognition,pedal,pedal_mooney,catch,regular,pre,null,21x7tm212b4ebfr,survey-text-autocomplete,103,333187,0.0-11.0-6.19-4.19,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""panda""}",panda,,0.8565707088099557,0.0
20,,,,21,0,recognition,backpack,backpack,target,horizontal_flip,color,null,21x7tm212b4ebfr,survey-text-autocomplete,110,338663,0.0-11.0-6.20-4.20,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""bag""}",bag,,0.29563851593176427,0.0
21,,,,22,0,recognition,puddle,puddle,target,regular,color,null,21x7tm212b4ebfr,survey-text-autocomplete,117,360513,0.0-11.0-6.21-4.21,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"""timeout""",,,,0.0
22,,,,23,0,recognition,pomegranate,pomegranate,target,upside_down,color,null,21x7tm212b4ebfr,survey-text-autocomplete,124,365422,0.0-11.0-6.22-4.22,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""apple""}",apple,,0.2973288504336473,0.0
