block,image_id,image_type,manipulation,phase,subject,verbal_id,semantic_distance,verbal_acc_corrected
3,figurine,target,horizontal_flip,post,863p97db18nk6uj,face,0.6841199264816813,0.0
4,pedal,target,horizontal_flip,pre,863p97db18nk6uj,trumpet,0.6839307576936835,0.0
4,dumbbell,target,regular,pre,863p97db18nk6uj,bone,0.5936447682668241,0.0
4,gutter,target,upside_down,pre,863p97db18nk6uj,musical_box,0.6739834727092169,0.0
4,puddle,target,regular,post,863p97db18nk6uj,puddle,0.0,1.0
4,eclair,target,upside_down,post,863p97db18nk6uj,face,0.7786159861631043,0.0
4,axe,target,horizontal_flip,post,863p97db18nk6uj,map,0.8815422563355445,0.0
5,dumbbell,target,regular,post,863p97db18nk6uj,book,0.8336537878989618,0.0
5,pedal,target,horizontal_flip,post,863p97db18nk6uj,pedal,0.0,1.0
5,gutter,target,upside_down,post,863p97db18nk6uj,axe,0.704506578354494,0.0
0,candelabra,target,horizontal_flip,pre,y27k8tfxaogk75r,garbage,0.8250718519633026,0.0
0,drill,target,regular,pre,y27k8tfxaogk75r,horse,0.7868578069732827,0.0
0,axe,target,upside_down,pre,y27k8tfxaogk75r,tree,0.703635804904527,0.0
1,candelabra,target,horizontal_flip,post,y27k8tfxaogk75r,candle_holder,0.3038730226832967,0.0
1,sidecar,target,regular,pre,y27k8tfxaogk75r,cow,0.7058868675445851,0.0
1,axe,target,upside_down,post,y27k8tfxaogk75r,axe,0.0,1.0
1,drill,target,regular,post,y27k8tfxaogk75r,drill,0.0,1.0
1,puddle,target,horizontal_flip,pre,y27k8tfxaogk75r,puddle,0.0,1.0
1,shears,target,upside_down,pre,y27k8tfxaogk75r,axe,0.611396416296783,0.0
2,garlic,target,horizontal_flip,pre,y27k8tfxaogk75r,garbage,0.7666369158431595,0.0
2,pedal,target,regular,pre,y27k8tfxaogk75r,pedal,0.0,1.0
2,sidecar,target,regular,post,y27k8tfxaogk75r,cow,0.7058868675445851,0.0
2,shears,target,upside_down,post,y27k8tfxaogk75r,handle,0.6605848486529227,0.0
2,puddle,target,horizontal_flip,post,y27k8tfxaogk75r,puddle,0.0,1.0
2,peanut_butter,target,upside_down,pre,y27k8tfxaogk75r,manhole,0.7813925996453936,0.0
3,peanut_butter,target,upside_down,post,y27k8tfxaogk75r,manhole,0.7813925996453936,0.0
3,pedal,target,regular,post,y27k8tfxaogk75r,pedal,0.0,1.0
3,football_helmet,target,horizontal_flip,pre,y27k8tfxaogk75r,bike,0.7094584324823563,0.0
3,dumbbell,target,upside_down,pre,y27k8tfxaogk75r,bike,0.6585774333432785,0.0
3,garlic,target,horizontal_flip,post,y27k8tfxaogk75r,garbage,0.7666369158431595,0.0
3,punching_bag,target,regular,pre,y27k8tfxaogk75r,window,0.844990101052391,0.0
4,ginger,target,regular,pre,y27k8tfxaogk75r,garlic,0.2173212168861061,0.0
4,football_helmet,target,horizontal_flip,post,y27k8tfxaogk75r,bike,0.7094584324823563,0.0
4,punching_bag,target,regular,post,y27k8tfxaogk75r,punch_bag,0.0,0.0
4,figurine,target,horizontal_flip,pre,y27k8tfxaogk75r,human_face,0.6841199264816813,0.0
4,dumbbell,target,upside_down,post,y27k8tfxaogk75r,pipe,0.6212244762153668,0.0
