index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
484,,,,,,survey-text-autocomplete,484,465744,0.0-11.0-6.100-4.100,Chrome,133.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 726,p6jtb0m0mykzkcv,https://exponline.ugr.es/publix/939/997/start?srid=18382,63f782f160eb53150d24c549,31,30,United Kingdom,Female,Right-handed,,,"{""recognition"":""fish""}",,,,,,,,,,,,,,,101,2,recognition,bullet,bullet_mooney,target,horizontal_flip,pre,null,Exp,Recognition,,,,fish,0.7406814191943747,0.0
491,,,,,,survey-text-autocomplete,491,472738,0.0-11.0-6.101-4.101,Chrome,133.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 726,p6jtb0m0mykzkcv,https://exponline.ugr.es/publix/939/997/start?srid=18382,63f782f160eb53150d24c549,31,30,United Kingdom,Female,Right-handed,,,"{""recognition"":""car""}",,,,,,,,,,,,,,,102,2,recognition,punching_bag,punching_bag_mooney,target,upside_down,pre,null,Exp,Recognition,,,,car,0.8347143346643472,0.0
498,,,,,,survey-text-autocomplete,498,476817,0.0-11.0-6.102-4.102,Chrome,133.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 726,p6jtb0m0mykzkcv,https://exponline.ugr.es/publix/939/997/start?srid=18382,63f782f160eb53150d24c549,31,30,United Kingdom,Female,Right-handed,,,"{""recognition"":""spring roll""}",,,,,,,,,,,,,,,103,2,recognition,egg_roll,egg_roll_mooney,target,regular,post,null,Exp,Recognition,,,,spring_roll,0.0,0.0
505,,,,,,survey-text-autocomplete,505,480625,0.0-11.0-6.103-4.103,Chrome,133.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 726,p6jtb0m0mykzkcv,https://exponline.ugr.es/publix/939/997/start?srid=18382,63f782f160eb53150d24c549,31,30,United Kingdom,Female,Right-handed,,,"{""recognition"":""bat""}",,,,,,,,,,,,,,,104,2,recognition,bat2,bat2_mooney,target,horizontal_flip,post,null,Exp,Recognition,,,,bat2,0.0,1.0
512,,,,,,survey-text-autocomplete,512,492000,0.0-11.0-6.104-4.104,Chrome,133.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 726,p6jtb0m0mykzkcv,https://exponline.ugr.es/publix/939/997/start?srid=18382,63f782f160eb53150d24c549,31,30,United Kingdom,Female,Right-handed,,,"{""recognition"":""club""}",,,,,,,,,,,,,,,105,2,recognition,drill,drill_mooney,target,regular,pre,null,Exp,Recognition,,,,club,0.642020248957744,0.0
519,,,,,,survey-text-autocomplete,519,501793,0.0-11.0-6.105-4.105,Chrome,133.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 726,p6jtb0m0mykzkcv,https://exponline.ugr.es/publix/939/997/start?srid=18382,63f782f160eb53150d24c549,31,30,United Kingdom,Female,Right-handed,,,"{""recognition"":""water bottle""}",,,,,,,,,,,,,,,106,2,recognition,banana_peel,banana_peel_mooney,catch,horizontal_flip,pre,null,Exp,Recognition,,,,water_bottle,0.6376445545417577,0.0
526,,,,,,survey-text-autocomplete,526,506154,0.0-11.0-6.106-4.106,Chrome,133.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 726,p6jtb0m0mykzkcv,https://exponline.ugr.es/publix/939/997/start?srid=18382,63f782f160eb53150d24c549,31,30,United Kingdom,Female,Right-handed,,,"{""recognition"":""bullet""}",,,,,,,,,,,,,,,107,2,recognition,bullet,bullet,target,horizontal_flip,color,null,Exp,Recognition,,,,bullet,0.0,1.0
533,,,,,,survey-text-autocomplete,533,511633,0.0-11.0-6.107-4.107,Chrome,133.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 726,p6jtb0m0mykzkcv,https://exponline.ugr.es/publix/939/997/start?srid=18382,63f782f160eb53150d24c549,31,30,United Kingdom,Female,Right-handed,,,"{""recognition"":""punching bag""}",,,,,,,,,,,,,,,108,2,recognition,punching_bag,punching_bag,target,upside_down,color,null,Exp,Recognition,,,,punching_bag,0.0,1.0
540,,,,,,survey-text-autocomplete,540,516082,0.0-11.0-6.108-4.108,Chrome,133.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 726,p6jtb0m0mykzkcv,https://exponline.ugr.es/publix/939/997/start?srid=18382,63f782f160eb53150d24c549,31,30,United Kingdom,Female,Right-handed,,,"{""recognition"":""drill""}",,,,,,,,,,,,,,,109,2,recognition,drill,drill,target,regular,color,null,Exp,Recognition,,,,drill,0.0,1.0
546,,,,,,html-keyboard-response,546,538737,0.0-11.0-5.109-1.109,Chrome,133.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 726,p6jtb0m0mykzkcv,https://exponline.ugr.es/publix/939/997/start?srid=18382,63f782f160eb53150d24c549,31,30,United Kingdom,Female,Right-handed,,2236.4000000059605,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,110,3,dot,sandal,sandal_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,e,0,1,,,
