index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,verbal_id,semantic_distance,verbal_acc_corrected
236,,,,,,survey-text-autocomplete,249,507778,0.0-11.0-6.48-4.48,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,,"{""recognition"":""burrito""}",,,,,,,,,,,,,,,49,1,recognition,egg_roll,egg_roll,target,regular,color,null,Exp,Recognition,,,,,burrito,0.2735490951111733,0.0
242,,,,,,survey-text-autocomplete,256,529602,0.0-11.0-6.49-4.49,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,,"""timeout""",,,,,,,,,,,,,,,50,1,recognition,pomegranate,pomegranate,target,upside_down,color,null,Exp,Recognition,,,,,,,0.0
248,,,,,,survey-text-autocomplete,263,535697,0.0-11.0-6.50-4.50,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,,"{""recognition"":""hail""}",,,,,,,,,,,,,,,51,1,recognition,polar_bear,polar_bear,target,horizontal_flip,color,null,Exp,Recognition,,,,,hail,0.7555233167128067,0.0
254,,,,,,html-keyboard-response,269,547784,0.0-11.0-5.51-1.51,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,2672.300000011921,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on5.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,52,2,dot,egg_roll,egg_roll_mooney_dot_on5,target,regular,post,on,Exp,dot_recog,i,0,0,,,,
258,,,,,,html-keyboard-response,273,549107,0.0-11.0-5.52-1.52,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,307.60000002384186,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,53,2,dot,candelabra,candelabra_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,i,0,1,,,,
262,,,,,,html-keyboard-response,277,550312,0.0-11.0-5.53-1.53,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,192.60000002384186,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off6.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,54,2,dot,pomegranate,pomegranate_mooney_dot_off6,target,upside_down,post,off,Exp,dot_recog,i,0,1,,,,
266,,,,,,html-keyboard-response,281,551333,0.0-11.0-5.54-1.54,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,8.300000011920929,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on7.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,55,2,dot,egg_roll,egg_roll_mooney_dot_on7,target,regular,post,on,Exp,dot_recog,i,0,0,,,,
270,,,,,,html-keyboard-response,285,552464,0.0-11.0-5.55-1.55,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,119.79999995231628,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,56,2,dot,candelabra,candelabra_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,i,0,0,,,,
274,,,,,,html-keyboard-response,289,553478,0.0-11.0-5.56-1.56,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,1.800000011920929,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on5.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,57,2,dot,pomegranate,pomegranate_mooney_dot_on5,target,upside_down,post,on,Exp,dot_recog,i,0,0,,,,
278,,,,,,html-keyboard-response,293,554542,0.0-11.0-5.57-1.57,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,52.299999952316284,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,58,2,dot,candelabra,candelabra_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,i,0,0,,,,
