index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,verbal_id,semantic_distance,verbal_acc_corrected
395,,,,,,survey-text-autocomplete,418,1066874,0.0-11.0-6.82-4.82,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,,"{""recognition"":""onion""}",,,,,,,,,,,,,,,83,2,recognition,garlic,garlic,target,regular,color,null,Exp,Recognition,,,,,onion,0.21944681791236786,0.0
401,,,,,,survey-text-autocomplete,425,1076175,0.0-11.0-6.83-4.83,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,,"{""recognition"":""onion""}",,,,,,,,,,,,,,,84,2,recognition,bat2,bat2,target,upside_down,color,null,Exp,Recognition,,,,,onion,0.823711091480248,0.0
407,,,,,,html-keyboard-response,431,1083404,0.0-11.0-5.84-1.84,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,1809.6000000238419,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,85,3,dot,parking_meter,parking_meter_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,i,0,0,,,,
411,,,,,,html-keyboard-response,435,1085174,0.0-11.0-5.85-1.85,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,745.3000000119209,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,86,3,dot,drill,drill_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,0,0,,,,
415,,,,,,html-keyboard-response,439,1088085,0.0-11.0-5.86-1.86,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,1882.6000000238419,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sidecar_mooney_dot_off6.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,87,3,dot,sidecar,sidecar_mooney_dot_off6,target,horizontal_flip,post,off,Exp,dot_recog,e,1,0,,,,
419,,,,,,html-keyboard-response,443,1089945,0.0-11.0-5.87-1.87,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,830.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,88,3,dot,buoy,buoy_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,e,1,0,,,,
423,,,,,,html-keyboard-response,447,1092946,0.0-11.0-5.88-1.88,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,1978.7000000476837,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off6.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,89,3,dot,bat2,bat2_mooney_dot_off6,target,upside_down,post,off,Exp,dot_recog,i,0,1,,,,
427,,,,,,html-keyboard-response,451,1095171,0.0-11.0-5.89-1.89,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,1195.0999999642372,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,90,3,dot,parking_meter,parking_meter_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,e,1,0,,,,
431,,,,,,html-keyboard-response,455,1097848,0.0-11.0-5.90-1.90,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,1655,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_off6.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,91,3,dot,garlic,garlic_mooney_dot_off6,target,regular,post,off,Exp,dot_recog,i,0,1,,,,
435,,,,,,html-keyboard-response,459,1100262,0.0-11.0-5.91-1.91,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,1384.1000000238419,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sidecar_mooney_dot_on5.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,92,3,dot,sidecar,sidecar_mooney_dot_on5,target,horizontal_flip,post,on,Exp,dot_recog,e,1,1,,,,
439,,,,,,html-keyboard-response,463,1102673,0.0-11.0-5.92-1.92,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,1374.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on5.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,93,3,dot,bat2,bat2_mooney_dot_on5,target,upside_down,post,on,Exp,dot_recog,i,0,0,,,,
443,,,,,,html-keyboard-response,467,1104779,0.0-11.0-5.93-1.93,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,1078.199999988079,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_on7.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,94,3,dot,garlic,garlic_mooney_dot_on7,target,regular,post,on,Exp,dot_recog,i,0,0,,,,
447,,,,,,html-keyboard-response,471,1106616,0.0-11.0-5.94-1.94,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,818,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on7.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,95,3,dot,bat2,bat2_mooney_dot_on7,target,upside_down,post,on,Exp,dot_recog,i,0,0,,,,
451,,,,,,html-keyboard-response,475,1108861,0.0-11.0-5.95-1.95,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,1226.3999999761581,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,96,3,dot,buoy,buoy_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,e,1,0,,,,
455,,,,,,html-keyboard-response,479,1110736,0.0-11.0-5.96-1.96,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,840.8999999761581,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_on5.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,97,3,dot,garlic,garlic_mooney_dot_on5,target,regular,post,on,Exp,dot_recog,e,1,1,,,,
459,,,,,,html-keyboard-response,483,1113131,0.0-11.0-5.97-1.97,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,1353.8999999761581,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,98,3,dot,drill,drill_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,e,1,0,,,,
