index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
446,,,,,,html-keyboard-response,446,807755,0.0-11.0-5.93-1.93,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,1489.4000000953674,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,94,2,dot,eclair,eclair_mooney_dot_off4,catch,horizontal_flip,pre,off,Exp,dot_recog,i,1,0,,,
450,,,,,,html-keyboard-response,450,810560,0.0-11.0-5.94-1.94,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,1764,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_off6.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,95,2,dot,sandal,sandal_mooney_dot_off6,catch,upside_down,post,off,Exp,dot_recog,e,0,1,,,
454,,,,,,html-keyboard-response,454,812984,0.0-11.0-5.95-1.95,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,1375.2000000476837,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,96,2,dot,missile,missile_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,e,0,1,,,
458,,,,,,html-keyboard-response,458,815446,0.0-11.0-5.96-1.96,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,1419.1999999284744,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,97,2,dot,eclair,eclair_mooney_dot_on3,catch,horizontal_flip,pre,on,Exp,dot_recog,i,1,1,,,
462,,,,,,html-keyboard-response,462,818716,0.0-11.0-5.97-1.97,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,2222,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,98,2,dot,candelabra,candelabra_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,e,0,1,,,
470,,,,,,survey-text-autocomplete,470,827076,0.0-11.0-6.98-4.98,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,,"{""recognition"":""hand""}",,,,,99,2,recognition,bat2,bat2_mooney,target,regular,pre,null,Exp,Recognition,,,,hand,0.6158478058734933,0.0
477,,,,,,survey-text-autocomplete,477,834502,0.0-11.0-6.99-4.99,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,,"{""recognition"":""diamond""}",,,,,100,2,recognition,magnifier,magnifier_mooney,target,upside_down,post,null,Exp,Recognition,,,,diamond,0.7630356855086957,0.0
484,,,,,,survey-text-autocomplete,484,850620,0.0-11.0-6.100-4.100,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,,"{""recognition"":""rail""}",,,,,101,2,recognition,missile,missile_mooney,target,upside_down,pre,null,Exp,Recognition,,,,rail,0.7631248435963833,0.0
491,,,,,,survey-text-autocomplete,491,866084,0.0-11.0-6.101-4.101,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,,"{""recognition"":""roof rack""}",,,,,102,2,recognition,candelabra,candelabra_mooney,target,horizontal_flip,pre,null,Exp,Recognition,,,,roof_rack,0.8012515832195362,0.0
498,,,,,,survey-text-autocomplete,498,879091,0.0-11.0-6.102-4.102,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,,"{""recognition"":""shark""}",,,,,103,2,recognition,backpack,backpack_mooney,target,regular,post,null,Exp,Recognition,,,,shark,0.7764398031385698,0.0
505,,,,,,survey-text-autocomplete,505,892707,0.0-11.0-6.103-4.103,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,,"{""recognition"":""umbrella""}",,,,,104,2,recognition,eclair,eclair_mooney,catch,horizontal_flip,pre,null,Exp,Recognition,,,,umbrella,0.745999282282737,0.0
512,,,,,,survey-text-autocomplete,512,900238,0.0-11.0-6.104-4.104,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,,"{""recognition"":""plane""}",,,,,105,2,recognition,sandal,sandal_mooney,catch,upside_down,post,null,Exp,Recognition,,,,plane,0.8399089765443045,0.0
519,,,,,,survey-text-autocomplete,519,906875,0.0-11.0-6.105-4.105,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,,"{""recognition"":""wolf""}",,,,,106,2,recognition,puffin,puffin_mooney,target,horizontal_flip,post,null,Exp,Recognition,,,,wolf,0.5176319771942737,0.0
526,,,,,,survey-text-autocomplete,526,919067,0.0-11.0-6.106-4.106,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,,"{""recognition"":""rocket""}",,,,,107,2,recognition,missile,missile,target,upside_down,color,null,Exp,Recognition,,,,rocket,0.7083886044693339,0.0
533,,,,,,survey-text-autocomplete,533,925659,0.0-11.0-6.107-4.107,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,,"{""recognition"":""candle holder""}",,,,,108,2,recognition,candelabra,candelabra,target,horizontal_flip,color,null,Exp,Recognition,,,,candle_holder,0.30387302268329675,0.0
540,,,,,,survey-text-autocomplete,540,931333,0.0-11.0-6.108-4.108,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,,"{""recognition"":""bat""}",,,,,109,2,recognition,bat2,bat2,target,regular,color,null,Exp,Recognition,,,,bat2,0.0,1.0
