index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
683,,,,,,survey-text-autocomplete,683,1151984,0.0-11.0-6.140-4.140,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,,"{""recognition"":""goat""}",,,,,141,3,recognition,snail,snail_mooney,target,horizontal_flip,pre,null,Exp,Recognition,,,,goat,0.6226197555016397,0.0
690,,,,,,survey-text-autocomplete,690,1157668,0.0-11.0-6.141-4.141,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,,"{""recognition"":""dais""}",,,,,142,3,recognition,hot-water_bottle,hot-water_bottle_mooney,target,upside_down,pre,null,Exp,Recognition,,,,dais,0.7924414226088723,0.0
697,,,,,,survey-text-autocomplete,697,1163099,0.0-11.0-6.142-4.142,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,,"{""recognition"":""pen""}",,,,,143,3,recognition,lip_gloss,lip_gloss_mooney,catch,horizontal_flip,post,null,Exp,Recognition,,,,pen,0.808221582889206,0.0
704,,,,,,survey-text-autocomplete,704,1170009,0.0-11.0-6.143-4.143,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,,"{""recognition"":""funnel""}",,,,,144,3,recognition,candelabra,candelabra_mooney,target,regular,post,null,Exp,Recognition,,,,funnel,0.7954898328762599,0.0
711,,,,,,survey-text-autocomplete,711,1175535,0.0-11.0-6.144-4.144,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,,"{""recognition"":""snail""}",,,,,145,3,recognition,snail,snail,target,horizontal_flip,color,null,Exp,Recognition,,,,snail,0.0,1.0
718,,,,,,survey-text-autocomplete,718,1183394,0.0-11.0-6.145-4.145,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,,"{""recognition"":""banana peel""}",,,,,146,3,recognition,banana_peel,banana_peel,target,regular,color,null,Exp,Recognition,,,,banana_peel,0.0,1.0
725,,,,,,survey-text-autocomplete,725,1190294,0.0-11.0-6.146-4.146,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,,"{""recognition"":""clothes""}",,,,,147,3,recognition,hot-water_bottle,hot-water_bottle,target,upside_down,color,null,Exp,Recognition,,,,clothes,0.6839051325844572,0.0
731,,,,,,html-keyboard-response,731,1213640,0.0-11.0-5.147-1.147,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,null,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,148,4,dot,bat2,bat2_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,,0,0,,,
735,,,,,,html-keyboard-response,735,1219733,0.0-11.0-5.148-1.148,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,null,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on5.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,149,4,dot,banana_peel,banana_peel_mooney_dot_on5,target,regular,post,on,Exp,dot_recog,,0,0,,,
739,,,,,,html-keyboard-response,739,1225805,0.0-11.0-5.149-1.149,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,null,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,150,4,dot,bullet,bullet_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,,0,0,,,
