index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
112,,,,,,survey-text-autocomplete,112,349987,0.0-11.0-6.20-4.20,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,,"{""recognition"":""candle holder""}",,,,,,,,,,,,,,,21,0,recognition,candelabra,candelabra,target,horizontal_flip,color,null,Exp,Recognition,,,,candle_holder,0.30387302268329675,0.0
119,,,,,,survey-text-autocomplete,119,359980,0.0-11.0-6.21-4.21,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,,"{""recognition"":""axe""}",,,,,,,,,,,,,,,22,0,recognition,axe,axe,target,upside_down,color,null,Exp,Recognition,,,,axe,0.0,1.0
126,,,,,,survey-text-autocomplete,126,367512,0.0-11.0-6.22-4.22,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,,"{""recognition"":""screwdriver""}",,,,,,,,,,,,,,,23,0,recognition,drill,drill,target,regular,color,null,Exp,Recognition,,,,screwdriver,0.6347731109597705,0.0
132,,,,,,html-keyboard-response,132,385623,0.0-11.0-5.23-1.23,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,551,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,24,1,dot,magnifier,magnifier_mooney_dot_off4,catch,upside_down,pre,off,Exp,dot_recog,i,1,0,,,
136,,,,,,html-keyboard-response,136,388338,0.0-11.0-5.24-1.24,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,1696.5999999940395,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off8.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,25,1,dot,scarf,scarf_mooney_dot_off8,catch,regular,post,off,Exp,dot_recog,i,1,0,,,
140,,,,,,html-keyboard-response,140,392010,0.0-11.0-5.25-1.25,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,2649.7999999970198,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,26,1,dot,magnifier,magnifier_mooney_dot_on3,catch,upside_down,pre,on,Exp,dot_recog,i,1,1,,,
144,,,,,,html-keyboard-response,144,394601,0.0-11.0-5.26-1.26,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,1579.2999999970198,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off6.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,27,1,dot,axe,axe_mooney_dot_off6,target,upside_down,post,off,Exp,dot_recog,i,1,0,,,
148,,,,,,html-keyboard-response,148,396849,0.0-11.0-5.27-1.27,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,1224,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,28,1,dot,puddle,puddle_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,i,1,1,,,
152,,,,,,html-keyboard-response,152,398484,0.0-11.0-5.28-1.28,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,607,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on7.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,29,1,dot,candelabra,candelabra_mooney_dot_on7,target,horizontal_flip,post,on,Exp,dot_recog,i,1,1,,,
156,,,,,,html-keyboard-response,156,400931,0.0-11.0-5.29-1.29,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,1431.6000000014901,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sidecar_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,30,1,dot,sidecar,sidecar_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,1,1,,,
