index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
117,,,,,,survey-text-autocomplete,117,311162,0.0-11.0-6.21-4.21,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,740 x 727,f25hkhxkl5eyjn1,https://exponline.ugr.es/publix/939/983/start?srid=18264,673f7ea657ae127e26c9f97c,24,28,United States,Female,Right-handed,,,"{""recognition"":""statue""}",,,,,,,,,,,,,,,22,0,recognition,figurine,figurine,target,horizontal_flip,color,null,Exp,Recognition,,,,statue,0.3070334127513943,0.0
124,,,,,,survey-text-autocomplete,124,315486,0.0-11.0-6.22-4.22,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,740 x 727,f25hkhxkl5eyjn1,https://exponline.ugr.es/publix/939/983/start?srid=18264,673f7ea657ae127e26c9f97c,24,28,United States,Female,Right-handed,,,"{""recognition"":""donut""}",,,,,,,,,,,,,,,23,0,recognition,eclair,eclair,target,regular,color,null,Exp,Recognition,,,,donut,0.3208151011746577,0.0
130,,,,,,html-keyboard-response,130,324109,0.0-11.0-5.23-1.23,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,740 x 727,f25hkhxkl5eyjn1,https://exponline.ugr.es/publix/939/983/start?srid=18264,673f7ea657ae127e26c9f97c,24,28,United States,Female,Right-handed,,1045.9000000357628,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on5.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,24,1,dot,axe,axe_mooney_dot_on5,catch,regular,post,on,Exp,dot_recog,e,1,1,,,
134,,,,,,html-keyboard-response,134,326162,0.0-11.0-5.24-1.24,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,740 x 727,f25hkhxkl5eyjn1,https://exponline.ugr.es/publix/939/983/start?srid=18264,673f7ea657ae127e26c9f97c,24,28,United States,Female,Right-handed,,1043.3999999761581,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,25,1,dot,drill,drill_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,
138,,,,,,html-keyboard-response,138,328974,0.0-11.0-5.25-1.25,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,740 x 727,f25hkhxkl5eyjn1,https://exponline.ugr.es/publix/939/983/start?srid=18264,673f7ea657ae127e26c9f97c,24,28,United States,Female,Right-handed,,1802.0999999642372,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,26,1,dot,bullet,bullet_mooney_dot_on1,catch,upside_down,pre,on,Exp,dot_recog,i,0,0,,,
142,,,,,,html-keyboard-response,142,331147,0.0-11.0-5.26-1.26,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,740 x 727,f25hkhxkl5eyjn1,https://exponline.ugr.es/publix/939/983/start?srid=18264,673f7ea657ae127e26c9f97c,24,28,United States,Female,Right-handed,,1161.699999988079,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,27,1,dot,shears,shears_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,e,1,0,,,
146,,,,,,html-keyboard-response,146,333291,0.0-11.0-5.27-1.27,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,740 x 727,f25hkhxkl5eyjn1,https://exponline.ugr.es/publix/939/983/start?srid=18264,673f7ea657ae127e26c9f97c,24,28,United States,Female,Right-handed,,1133.5999999642372,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,28,1,dot,sandal,sandal_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,
150,,,,,,html-keyboard-response,150,335294,0.0-11.0-5.28-1.28,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,740 x 727,f25hkhxkl5eyjn1,https://exponline.ugr.es/publix/939/983/start?srid=18264,673f7ea657ae127e26c9f97c,24,28,United States,Female,Right-handed,,992,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on5.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,29,1,dot,peanut_butter,peanut_butter_mooney_dot_on5,target,upside_down,post,on,Exp,dot_recog,e,1,1,,,
154,,,,,,html-keyboard-response,154,337280,0.0-11.0-5.29-1.29,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,740 x 727,f25hkhxkl5eyjn1,https://exponline.ugr.es/publix/939/983/start?srid=18264,673f7ea657ae127e26c9f97c,24,28,United States,Female,Right-handed,,974.8999999761581,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off8.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,30,1,dot,axe,axe_mooney_dot_off8,catch,regular,post,off,Exp,dot_recog,i,0,1,,,
158,,,,,,html-keyboard-response,158,339194,0.0-11.0-5.30-1.30,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,740 x 727,f25hkhxkl5eyjn1,https://exponline.ugr.es/publix/939/983/start?srid=18264,673f7ea657ae127e26c9f97c,24,28,United States,Female,Right-handed,,900,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off8.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,31,1,dot,peanut_butter,peanut_butter_mooney_dot_off8,target,upside_down,post,off,Exp,dot_recog,i,0,1,,,
