index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
697,,,,,,survey-text-autocomplete,697,832626,0.0-11.0-6.142-4.142,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,,"{""recognition"":""helmet""}",,,,,,,,,,,,,,,143,3,recognition,football_helmet,football_helmet_mooney,target,upside_down,post,null,Exp,Recognition,,,,helmet,0.3335998265040213,0.0
704,,,,,,survey-text-autocomplete,704,841098,0.0-11.0-6.143-4.143,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,,"{""recognition"":""candle holder""}",,,,,,,,,,,,,,,144,3,recognition,candelabra,candelabra_mooney,target,regular,post,null,Exp,Recognition,,,,candle_holder,0.30387302268329675,0.0
711,,,,,,survey-text-autocomplete,711,857114,0.0-11.0-6.144-4.144,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,,"{""recognition"":""magnifying glass""}",,,,,,,,,,,,,,,145,3,recognition,magnifier,magnifier,target,regular,color,null,Exp,Recognition,,,,magnifying_glass,0.19277475331037786,0.0
718,,,,,,survey-text-autocomplete,718,862498,0.0-11.0-6.145-4.145,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,,"{""recognition"":""polar bear""}",,,,,,,,,,,,,,,146,3,recognition,polar_bear,polar_bear,target,horizontal_flip,color,null,Exp,Recognition,,,,polar_bear,0.0,1.0
725,,,,,,survey-text-autocomplete,725,868370,0.0-11.0-6.146-4.146,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,,"{""recognition"":""scissors""}",,,,,,,,,,,,,,,147,3,recognition,shears,shears,target,upside_down,color,null,Exp,Recognition,,,,scissors,0.301369165372704,0.0
731,,,,,,html-keyboard-response,731,872483,0.0-11.0-5.147-1.147,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,1578.699999999255,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,148,4,dot,lip_gloss,lip_gloss_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,i,1,1,,,
735,,,,,,html-keyboard-response,735,874642,0.0-11.0-5.148-1.148,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,1134.6000000014901,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_on5.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,149,4,dot,polar_bear,polar_bear_mooney_dot_on5,target,horizontal_flip,post,on,Exp,dot_recog,i,1,1,,,
739,,,,,,html-keyboard-response,739,877331,0.0-11.0-5.149-1.149,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,1671.0999999996275,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_off8.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,150,4,dot,magnifier,magnifier_mooney_dot_off8,target,regular,post,off,Exp,dot_recog,e,0,1,,,
743,,,,,,html-keyboard-response,743,878995,0.0-11.0-5.150-1.150,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,648.8999999985099,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,151,4,dot,lip_gloss,lip_gloss_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,i,1,0,,,
747,,,,,,html-keyboard-response,747,880947,0.0-11.0-5.151-1.151,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,931.2999999988824,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,152,4,dot,peanut_butter,peanut_butter_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,i,1,0,,,
